,Source,Target,Link
0,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=8yqX7m6wJN8,1
1,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=npui2mJCChA,1
2,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=npui2mJCChA,1
3,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=7KzHrL8_mWA,1
4,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=7_O9Q8GdLnc,1
5,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=rqIhMd9JEdE,1
6,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=rqIhMd9JEdE,1
7,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=gCyjzGH8FH4,1
8,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=1FdvZjFa5pM,1
9,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=DOOnw7Yv9oQ,1
10,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=RVYsMvfyxeQ,1
11,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=Q3MjRHCX76A,1
12,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=8yqX7m6wJN8,1
13,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=pAxiUUCPs6Y,1
14,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=iNGd64nt2Wk,1
15,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=6Xs0FA5M5Lc,1
16,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=Q3MjRHCX76A,1
17,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=WaeZO1HkFKY,1
18,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=7KzHrL8_mWA,1
19,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=prRokei1Xus,1
20,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=6Xs0FA5M5Lc,1
21,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=wwsv4hJlmjc,1
22,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=iNGd64nt2Wk,1
23,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=RVYsMvfyxeQ,1
24,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=AWvhgFl35-Q,1
25,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=iNGd64nt2Wk,1
26,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=npui2mJCChA,1
27,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=DOOnw7Yv9oQ,1
28,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=KvpnMooNWQg,1
29,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=iNGd64nt2Wk,1
30,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=RVYsMvfyxeQ,1
31,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=wwsv4hJlmjc,1
32,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=kppYRQx8DA4,1
33,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=43nh_tFcU-k,1
34,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=RVYsMvfyxeQ,1
35,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=AWvhgFl35-Q,1
36,https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=ILMFgu46v8g,1
